ID.S;ID;TIPO;COSTO
O.E.05.P.4.D.44;;H;361.085608
O.E.05.P.4.D.44.d;E05.P4.D44;H;361.085608
O.E.05.P.4.G;;H;2804.592891
O.E.05.P.4.G.d;E05.P4;H;2804.592891
O.E.06;;H;12803.696510
O.E.06.G;;H;12803.696510
O.E.06.G.d;E06;H;12803.696510
O.E.06.L;E06.L;H;1491.337000
O.E.06.L.1;;H;1491.337000
O.E.06.L.1.d;E06.L1;H;1491.337000
O.E.06.N;E06.N;H;768.547998
O.E.06.N.1;E06.N1;H;768.547998
O.E.06.N.1.C;E06.N1.C;H;768.547998
O.E.06.N.1.C.1;E06.N1.C1;H;128.091333
O.E.06.N.1.C.2;E06.N1.C2;H;128.091333
O.E.06.N.1.C.3;E06.N1.C3;H;128.091333
O.E.06.N.1.C.4;E06.N1.C4;H;128.091333
O.E.06.N.1.C.5;E06.N1.C5;H;128.091333
O.E.06.N.1.C.6;E06.N1.C6;H;128.091333
O.E.06.P;E06.P;H;9740.251512
O.E.06.P.1;;H;2409.729663
O.E.06.P.1.D;E06.P1.D;H;1463.913201
O.E.06.P.1.D.11;;H;361.085608
O.E.06.P.1.D.11.d;E06.P1.D11;H;361.085608
O.E.06.P.1.D.12;;H;361.085608
O.E.06.P.1.D.12.d;E06.P1.D12;H;361.085608
O.E.06.P.1.D.13;;H;380.656377
O.E.06.P.1.D.13.d;E06.P1.D13;H;380.656377
O.E.06.P.1.D.14;;H;361.085608
O.E.06.P.1.D.14.d;E06.P1.D14;H;361.085608
O.E.06.P.1.G;;H;2409.729663
O.E.06.P.1.G.d;E06.P1;H;2409.729663
O.E.06.P.2;;H;2443.507283
O.E.06.P.2.D;E06.P2.D;H;1444.342432
O.E.06.P.2.D.21;;H;361.085608
O.E.06.P.2.D.21.d;E06.P2.D21;H;361.085608
O.E.06.P.2.D.22;;H;361.085608
O.E.06.P.2.D.22.d;E06.P2.D22;H;361.085608
O.E.06.P.2.D.23;;H;361.085608
O.E.06.P.2.D.23.d;E06.P2.D23;H;361.085608
O.E.06.P.2.D.24;;H;361.085608
O.E.06.P.2.D.24.d;E06.P2.D24;H;361.085608
O.E.06.P.2.G;;H;2443.507283
O.E.06.P.2.G.d;E06.P2;H;2443.507283
O.E.06.P.3;;H;2082.421675
O.E.06.P.3.D;E06.P3.D;H;1083.256824
O.E.06.P.3.D.31;;H;361.085608
O.E.06.P.3.D.31.d;E06.P3.D31;H;361.085608
O.E.06.P.3.D.32;;H;361.085608
O.E.06.P.3.D.32.d;E06.P3.D32;H;361.085608
O.E.06.P.3.D.33;;H;361.085608
O.E.06.P.3.D.33.d;E06.P3.D33;H;361.085608
O.E.06.P.3.D.34;;H;361.085608
